	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
ASV_6	53	62	73	95	38	49	51	60	54	57	67	60	69	36	76	115	61	86	59	67	59
ASV_7	60	94	49	91	37	49	42	71	61	45	48	77	75	12	54	112	108	40	73	40	45
ASV_8	32	105	65	52	77	43	55	33	36	48	31	25	147	18	27	49	123	65	17	27	45
ASV_10	29	24	56	33	25	16	49	56	43	38	73	50	43	105	68	67	59	125	138	0	10
ASV_11	59	38	49	64	38	26	66	61	40	78	60	44	67	93	26	70	45	45	30	58	29
ASV_12	27	43	88	64	45	66	24	47	42	53	58	70	49	29	89	64	70	50	64	0	47
ASV_13	78	75	33	39	37	35	36	50	46	46	26	58	41	22	59	61	44	0	50	74	31
ASV_14	57	49	55	90	29	25	36	78	34	63	53	77	39	34	65	53	45	49	53	25	32
ASV_15	29	37	38	54	79	12	23	21	30	45	12	0	48	31	15	37	30	52	49	25	0
ASV_16	8	24	76	11	19	21	50	45	30	120	177	43	47	102	66	29	44	9	65	16	13
ASV_17	23	47	40	34	23	24	45	48	50	36	29	24	68	76	57	29	49	58	49	41	56
ASV_18	23	61	49	87	23	25	43	41	31	48	25	51	39	0	32	60	60	31	32	61	46
ASV_19	39	24	74	31	50	28	82	100	61	50	50	45	37	46	67	0	22	37	96	41	10
ASV_20	46	40	29	35	26	93	28	21	33	21	15	41	49	48	30	70	30	29	13	112	119
ASV_21	28	29	34	36	39	48	24	38	51	13	32	39	37	25	53	58	42	88	53	42	60
ASV_22	0	67	16	26	32	28	44	44	32	29	0	39	119	39	26	50	46	21	18	29	62
ASV_23	33	38	48	31	40	40	12	38	36	30	43	46	36	0	34	55	33	39	38	36	46
ASV_24	34	36	41	35	22	16	50	52	49	50	23	30	38	29	34	40	28	47	35	52	20
ASV_25	12	87	74	0	94	33	34	46	26	20	26	16	96	14	0	66	81	33	18	25	53
ASV_26	95	23	32	47	44	20	40	53	38	52	25	25	28	7	35	33	23	32	42	29	39
ASV_27	12	30	9	10	46	132	46	28	67	17	14	52	11	0	35	38	0	187	129	53	40
ASV_28	34	18	17	49	44	38	32	33	29	53	34	17	24	16	33	42	19	34	84	39	42
ASV_29	21	19	43	33	27	42	36	39	32	43	84	28	25	18	42	32	22	55	37	37	23
ASV_30	54	22	28	42	38	34	21	25	27	42	31	142	18	21	27	40	43	28	19	54	33
ASV_31	54	28	5	44	32	19	12	32	58	12	16	21	56	0	10	54	104	50	23	0	45
ASV_32	31	22	34	31	36	18	28	37	23	30	34	19	36	41	26	52	23	22	19	20	17
ASV_33	45	26	27	24	46	24	61	16	27	16	13	19	19	16	25	31	22	27	24	32	26
ASV_34	21	29	23	42	46	28	25	28	44	0	24	26	40	14	29	39	41	48	40	33	40
ASV_35	36	19	19	23	48	15	0	39	62	27	0	0	41	0	22	23	58	48	13	8	26
ASV_36	27	21	28	32	34	31	25	61	38	0	23	27	42	71	33	28	0	42	29	31	0
ASV_37	23	8	29	13	36	35	31	29	25	41	39	30	30	32	29	25	21	37	33	41	0
ASV_38	27	35	31	21	32	35	22	22	26	44	21	43	13	24	36	21	36	19	14	45	23
ASV_39	27	33	29	44	36	46	17	21	44	14	23	24	18	22	36	48	27	0	31	47	62
ASV_40	44	0	32	0	41	36	35	26	34	40	20	0	40	32	0	0	0	33	20	30	27
ASV_41	22	22	32	27	32	31	28	23	0	33	26	45	24	32	61	59	25	40	24	60	45
ASV_42	25	36	17	34	15	16	13	17	39	37	15	45	28	0	28	40	29	29	28	19	22
ASV_43	35	32	31	40	15	12	19	59	47	33	30	0	36	0	15	20	23	37	29	0	0
ASV_44	23	20	26	23	34	23	30	25	41	34	34	27	46	38	18	34	27	27	14	28	15
ASV_45	38	37	16	57	10	11	10	46	34	16	20	25	51	6	25	20	34	35	29	24	19
ASV_46	22	31	19	0	53	47	25	17	28	27	23	30	33	19	29	29	0	47	34	22	49
ASV_47	6	13	35	19	16	48	39	15	14	21	13	25	8	0	26	30	36	29	45	66	39
ASV_48	24	23	18	24	15	38	34	15	15	30	18	19	29	7	34	22	17	24	41	31	15
ASV_49	18	23	30	50	8	14	18	37	25	20	14	19	39	14	32	37	30	24	23	11	15
ASV_50	22	17	17	15	49	39	23	16	38	15	14	0	25	11	31	26	29	45	18	33	20
ASV_51	23	28	24	40	29	0	18	43	26	32	18	15	24	5	23	11	16	24	26	7	4
ASV_52	0	21	39	15	32	21	54	45	20	16	24	11	24	18	30	29	32	0	48	0	22
ASV_53	26	14	19	35	11	10	0	29	35	33	30	40	19	4	26	22	27	31	41	11	16
ASV_54	18	16	18	23	11	23	0	15	25	14	24	32	22	0	42	0	25	24	47	17	17
ASV_55	0	15	0	0	10	53	19	15	14	32	27	23	26	0	21	14	11	11	22	45	37
ASV_56	24	23	34	22	14	11	31	44	36	42	19	33	21	8	22	29	22	14	39	16	7
ASV_57	18	21	25	0	34	18	31	0	11	22	24	28	7	0	16	38	28	21	17	64	66
ASV_58	20	41	33	33	22	16	17	21	24	20	13	21	20	0	24	32	42	20	13	9	32
ASV_59	17	17	27	0	0	35	39	38	23	41	76	38	14	22	52	15	0	25	67	23	28
ASV_60	12	16	13	28	31	6	14	28	33	23	12	20	27	16	19	37	19	23	30	0	5
ASV_61	40	17	9	23	19	26	7	16	32	18	10	31	25	14	20	19	0	26	39	24	20
ASV_62	20	39	20	45	10	14	19	34	23	21	14	23	27	0	22	24	43	10	8	0	18
ASV_63	24	12	6	41	0	12	18	14	37	20	17	31	27	0	34	17	41	17	19	23	34
ASV_64	23	30	19	26	27	9	19	22	34	14	18	11	14	21	18	24	14	26	24	30	18
ASV_65	11	24	17	19	14	17	45	18	24	36	21	27	36	20	18	29	11	26	18	22	0
ASV_66	22	0	22	0	27	0	0	32	12	17	17	19	18	79	13	8	0	49	28	23	0
ASV_67	33	23	20	21	19	0	19	16	29	22	5	22	21	34	33	19	21	40	9	21	16
