	H1_1	H1_2	H1_3	H1_4	H1_5	H1_6	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	H3_1	H3_2	H3_3	H3_4	H3_5	H3_6	BS1	BS2	BS3
d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Marine_Group_II;f__Marine_Group_II;g__Marine_Group_II;s__uncultured_archaeon	5	3	14	3	0	5	5	9	6	0	0	8	0	0	1	4	32	2	5	4	6
d__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__unclassified_Thermoplasmata;f__unclassified_Thermoplasmata;g__unclassified_Thermoplasmata;s__unclassified_Thermoplasmata	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter;s__unclassified_Candidatus_Koribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus_Koribacter;s__uncultured_bacterium	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__unclassified_Acidobacteriales;g__unclassified_Acidobacteriales;s__unclassified_Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__uncultured;g__uncultured;s__unclassified_uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__Acidobacteria_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__metagenome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__unclassified_Bryobacter	29	40	42	23	44	51	41	38	35	31	38	45	67	59	56	37	11	52	38	53	62
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__uncultured_Acidobacteria	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__uncultured_Acidobacteriaceae	0	4	13	0	0	6	3	9	8	0	7	0	11	0	13	11	19	0	18	0	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__uncultured_bacterium	16	0	10	12	7	9	3	6	13	24	16	12	0	31	12	0	17	17	9	20	14
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Bryobacter;s__uncultured_soil	5	0	0	4	0	0	0	0	5	0	0	0	4	0	0	0	0	5	0	7	0
d__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Solibacterales;f__Solibacteraceae_(Subgroup_3);g__Candidatus_Solibacter;s__metagenome	8	0	10	0	0	8	7	11	9	16	8	6	7	0	9	0	0	9	2	0	0
