phylum	H1	H2	H3	BS
Proteobacteria	0.281793416	0.31345038	0.27658226	0.269031885
Acidobacteria	0.228888908	0.214515928	0.222027295	0.25847955
Actinobacteria	0.216413297	0.18411958	0.229239782	0.237608883
Chloroflexi	0.091254075	0.094697865	0.099233278	0.080649773
Gemmatimonadetes	0.058609486	0.059311241	0.066263808	0.05037037
Planctomycetes	0.019454209	0.027446393	0.017244969	0.021962313
Bacteroidetes	0.028317107	0.033320352	0.024652412	0.023677721
Nitrospirae	0.005276153	0.004639376	0.005042235	0.003508772
Verrucomicrobia	0.010253421	0.013216388	0.006471735	0.011176106
Latescibacteria	0.010110461	0.008732944	0.007186485	0.006627681
other	0.04962971	0.046549801	0.046055911	0.036907126
